constituency_geographic_code,country_name,constituency_name,result_summary_2024,con_2024,lab_2024,ruk_2024,turnout_2024,prev_con_2024,prev_lab_2024,con_lost_2024,con_2019,lab_2019,turnout_2019,pct_age_18_24,pct_age_65_plus,pct_born_outside_uk,pct_christian,pct_no_religion,pct_owner_occupiers,pct_no_qualifications,pct_higher_education,pct_white,pct_lgb_plus,hanretty_leave,DIF_Cons,DIF_Turnout
E14001121,England,Braintree,Con hold,0.355185,0.28033,0.231419,0.631210330488072,1,0,0,0.67465895,0.1818481,0.682971637017261,0.067244161,0.205583513,0.074644218,0.473025141,0.44818215,0.690705648,0.179555378,0.258476421,0.94947839,0.021937413,0.604065487,-0.31947395,-0.0517613065291892
E14001122,England,Brent East,Lab hold,0.167266,0.512407,0.053542,0.487472113685894,0,1,0,0.23500012,0.6383897,0.580086979441223,0.093634769,0.112592185,0.534147602,0.414843396,0.143423214,0.340904482,0.223212875,0.385985627,0.379867532,0.032130605,0.420091165,-0.06773412,-0.0926148657553293
E14001123,England,Brent West,Lab hold,0.32543,0.417102,0.049811,0.517025503892436,0,1,0,0.33798832,0.5328155,0.633077436145587,0.106500288,0.123100747,0.622243575,0.34579677,0.086555797,0.454534412,0.224995657,0.386692999,0.255962357,0.027814097,0.416332775,-0.01255832,-0.11605193225315
E14001124,England,Brentford and Isleworth,Lab hold,0.225019,0.442105,0.087064,0.569784571219924,0,1,0,0.28303787,0.5033033,0.675996018545197,0.074449243,0.118338875,0.492787074,0.386838916,0.184280032,0.466397565,0.16804015,0.448992345,0.454469034,0.029341405,0.450486285,-0.05801887,-0.106211447325274
E14001125,England,Brentwood and Ongar,Con hold,0.366858,0.229289,0.243131,0.641416286229961,1,0,0,0.68543625,0.13685247,0.704805369844002,0.064352399,0.20701007,0.101113968,0.553430019,0.339373618,0.720355368,0.164594723,0.331411169,0.895959562,0.016999925,0.610421819,-0.31857825,-0.0633890836140416
E14001126,England,Bridgwater,Con hold,0.306038,0.272421,0.222109,0.560687988151626,1,0,0,0.5790152,0.20740378,0.63014926209079,0.069423304,0.226273399,0.094377449,0.497731946,0.422634168,0.652678967,0.20800049,0.23464837,0.962631425,0.027395246,0.645383777,-0.2729772,-0.0694612739391638
E14001127,England,Bridlington and The Wolds,Con hold,0.345762,0.272981,0.241051,0.576815604932964,1,0,0,0.6657192,0.19877261,0.640542889063599,0.055421166,0.299848812,0.03653624,0.539912745,0.384678517,0.683447804,0.219962656,0.2591233,0.980691149,0.022050324,0.650362998,-0.3199572,-0.0637272841306348
E14001128,England,Brigg and Immingham,Con hold,0.374165,0.297873,0.249224,0.58151274299238,1,0,0,0.71942,0.20203196,0.659588429105936,0.058309968,0.24797405,0.044453975,0.529215781,0.396606703,0.757328051,0.200413386,0.261065326,0.971641252,0.019050001,0.68472847,-0.345255,-0.078075686113556
E14001129,England,Brighton Kemptown and Peacehaven,Lab hold,0.202281,0.439783,0,0.591503838101884,0,1,0,0.34430507,0.5118147,0.707507335575753,0.12858446,0.179865167,0.170056798,0.358199566,0.514295899,0.520276954,0.174566759,0.345963614,0.866645959,0.10296639,0.423320338,-0.14202407,-0.116003497473869
E14001130,England,Brighton Pavilion,Green hold,0.075912,0.277276,0.05416,0.700171155029016,0,0,0,0.17738743,0.22670355,0.754087319405193,0.185187342,0.115763929,0.198811896,0.260864501,0.60033586,0.518702673,0.091659152,0.477333183,0.853337332,0.119431921,0.27927798,-0.10147543,-0.0539161643761765
